,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,номер_3-го_сертификата,номер_4-го_сертификата,номер_5-го_сертификата,сертификат_на_тренера,статус_погашения,card_used_date,стоимость_закупки,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
765,15151571,Успешно_реализовано,9290.0,2021-01-07 23:13:49,2021-01-08 18:51:00,290.0,,Подарочный_сертификаnна_полёт_на_самолёте_(Выберите_вариант_сертификата:_45_минут_полёта_)_-_1x9000_=_9000,9290.0,9000.0,9290,Авиа_Самолёты,FM45092864,,,,,,,Погашен,,,,,,,,,,,,,,,
767,15181329,Успешно_реализовано,7500.0,2021-01-09 21:21:06,2021-01-10 15:23:00,,,,,,7500,Вейксёрф_и_вейк_за_катером,WS36978,,,,,,,Погашен,2022-06-06,,,,,,,,,,,,,,
781,15334621,Успешно_реализовано,16000.0,2021-01-16 11:34:50,2021-01-24 14:21:00,,,,,,16000,Снегоходы,27887,,,,,,,,,,,,,,,,,,,,,,
784,15350229,Успешно_реализовано,8000.0,2021-01-17 13:10:49,2021-01-17 20:02:00,,,,,,8000,Снегоходы,76174,,,,,,,,,,,,,,,,,,,,,,
824,15781389,Успешно_реализовано,4290.0,2021-02-03 12:26:25,2021-02-08 22:12:00,290.0,,Подарочный_сертификат_на_квадроциклы_(Выберите_вариант_сертификата:_1_квадрик_на_1_час_с_пассажиром_-_4000р_)_-_1x4000_=_4000,4290.0,4000.0,4290,Квадроциклы,KVP11022615,,,,,,,Погашен,2022-01-03,,,,,,,,,,,,,,
963,16313257,Успешно_реализовано,10000.0,2021-02-23 12:40:20,2021-02-23 12:58:00,0.0,,Подарочный_сертификатна_пилотаж_на_спортивном_самолёте_Zlin_142_(Выберите_вариант_сертификата:_30_минут_пилотажа_(1_чел)_)_-_1x10000_=_10000,10000.0,10000.0,10000,Авиа_Самолёты,VFMP303657746,,,,,,,,,,,,,,,,,,,,,,
967,16322259,Успешно_реализовано,6000.0,2021-02-23 19:08:26,2021-02-23 19:34:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_30_минут_полёта_)_-_1x6000_=_6000,6000.0,6000.0,6000,Авиа_Самолёты,VFM303736143,,,,,,,Погашен,,,,,,,,,,,,,,,
998,16540225,Успешно_реализовано,8000.0,2021-03-04 10:01:09,2021-03-04 16:01:00,0.0,,Подарочный_сертификатна_Флайборд_(Выберите_тип:_1_час_)_-_1x8000_=_8000,8000.0,8000.0,8000,Флайборд_/_Ховерборд_/_Ранец,10386,,,,,,,,,,,,,,,,,,,,,,
1033,16709735,Успешно_реализовано,6000.0,2021-03-12 12:18:15,2021-03-12 19:10:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_30_минут_полёта_)_-_1x6000_=_6000,6000.0,6000.0,6000,Авиа_Самолёты,VFM304243508,,,,,,,,,,,,,,,,,,,,,,
1035,16712559,Успешно_реализовано,242900.0,2021-03-12 14:18:19,2021-03-12 15:51:00,,,,,,242900,,65807,,,,,,,,,,,,,,,,,,,,,,
1048,16801839,Успешно_реализовано,7500.0,2021-03-16 14:11:37,2021-03-21 12:00:00,,,,,,7500,Вейксёрф_и_вейк_за_катером,WS49845,,,,,,,Погашен,,,,,,,,,,,,,,,
1050,16808755,Успешно_реализовано,11500.0,2021-03-16 16:32:03,2021-03-16 17:09:00,0.0,,Подарочный_сертификатна_прогулку_на_самолёте_Cessna_172_(Выберите_тип:_45_минут_полёта_(до_3_чел.)_)_-_1x11500_=_11500,11500.0,11500.0,11500,Авиа_Самолёты,VFMCS454237461,,,,,,,,,,,,,,,,,,,,,,
1052,16818103,Успешно_реализовано,9000.0,2021-03-17 01:34:02,2021-03-21 11:42:00,0.0,310,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_вариант_сертификата:_45_минут_полёта_)_-_1x9000_=_9000,9000.0,9000.0,9000,Авиа_Самолёты,FM45038785,,,,,,,Погашен,,,,,,,,,,,,,,,
1058,16871199,Успешно_реализовано,6000.0,2021-03-18 14:42:41,2021-03-18 14:52:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_вариант_сертификата:_30_минут_полёта_)_-_1x6000_=_6000,6000.0,6000.0,6000,Авиа_Самолёты,VFM304257349,,,,,,,Погашен,,,,,,,,,,,,,,,
1086,17058881,Успешно_реализовано,4400.0,2021-03-26 17:14:31,2021-03-28 10:31:00,400.0,369,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_Целый_день_на_двоих_)_-_1x4000_=_4000,4400.0,4000.0,4400,САП-сёрф,2SU24047877,,,,,,,,,,,,,,,,,,,,,,
1095,17151599,Успешно_реализовано,6000.0,2021-03-31 11:26:19,2021-03-31 11:34:00,0.0,,Подарочный_сертификатна_полёт_на_самолёте_(Выберите_тип:_30_минут_полёта_)_-_1x6000_=_6000,6000.0,6000.0,6000,Авиа_Самолёты,VFM304443000,,,,,,,Погашен,,,,,,,,,,,,,,,
1111,17267963,Успешно_реализовано,4000.0,2021-04-05 17:26:43,2021-04-05 19:01:00,,,Подарочный_сертификатна_Сап-Сёрфинг_(Выберите_тип:_Целый_день_на_двоих_)_-_1x4000_=_4000,4000.0,4000.0,4000,САП-сёрф,2SU244546796,,,,,,,,,,,,,,,,,,,,,,
