,amo_id,этап_сделки,бюджет,дата_создания_сделки,sale_date,delivery_price,стоимость_доставки,products,price,subtotal,выручка_от_клиента,направление_(вид_сертификата),code,корневая_сделка,номер_2-го_сертификата,сертификат_на_фотографа,сертификат_на_тренера,статус_погашения,card_used_date,id,prefix,number,prefix_V,card_type,design_type,status,sale_price,expiry_date,created_at,updated_at,deleted_at,supplier_payment_date
623,24728487,Успешно_реализовано,3500.0,2023-04-07 22:17:09,2023-05-07 22:04:00,,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3500,Параплан,P1_2265799,,,,,,,,P1,2265799,P1,paper,design1,,3500.0,,,,,
640,25229195,Успешно_реализовано,3950.0,2023-04-09 10:18:41,2023-06-09 20:08:00,0.0,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3950,Параплан,P1_295200,,,,,,,,P1,295200,P1,paper,design1,,3500.0,,,,,
682,24088395,Успешно_реализовано,12400.0,2023-04-16 20:02:43,2023-04-16 20:16:00,,,"Подарочный_сертификатна_водные_лыжи_(Выберите_тип:_1_час_аренды_-_Mastercraft/Tige/Nautique_-_10_000_руб._,_Тренер:_1_час_с_тренером)_-_1x12400_=_12400",12400.0,12400.0,12400,Водные_лыжи,SKIN60_156264,,,,TR212535,,,,SKIN60,156264,SKIN60,paper,design1,,0.0,,,,,
743,23855583,Успешно_реализовано,36000.0,2023-04-25 09:55:38,2023-04-26 19:09:00,,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_для_двоих,_Бумажный_или_электронный:_Бумажный)_-_1x36000_=_36000",36000.0,36000.0,36000,Парашюты,S2_262353,,,,,Погашен,2023-06-20,,S2,262353,S2,paper,design1,sold_used,36000.0,,,,,2023-06-20
752,24162895,Успешно_реализовано,23000.0,2023-04-26 19:18:30,2023-04-27 00:03:00,500.0,,"Прыжок_с_парашютом_(Варианты:_Прыжок_с_инструктором_и_видеосъемка,_Бумажный_или_электронный:_Бумажный)_-_1x22500_=_22500",23000.0,22500.0,23000,Парашюты,SP_254752,,,,,,,,SP,254752,SP,paper,design1,,22500.0,,,,,
759,24171688,Успешно_реализовано,8000.0,2023-04-27 22:38:51,2023-04-28 21:01:00,350.0,,"Мотокросс_и_Эндуро_(Варианты:_Персональная_тренировка_-_1_или_2_часа,_Бумажный_или_электронный:_Бумажный)_-_1x8000_=_8000",8350.0,8000.0,8000,Мото_Мотокросс,MT2_153588,,,,,,,,MT2,153588,MT2,paper,design1,,8000.0,,,,,
761,24170570,Успешно_реализовано,3500.0,2023-04-28 08:08:44,2023-04-27 21:40:00,,,"Вейк_в_бассейне_(Варианты:_Start_Up,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3500,Вейк-парк_крытый,GR1X1_011556,,,,,,,,GR1X1,011556,GR1X1,paper,design1,,3500.0,,,,,
768,24180006,Успешно_реализовано,3500.0,2023-04-28 21:48:14,2023-04-29 19:24:00,,,"Полет_на_параплане_(Варианты:_1_полет_с_инструктором,_Бумажный_или_электронный:_Бумажный)_-_1x3500_=_3500",3500.0,3500.0,3500,Параплан,P1_295122,,,,,Погашен,2023-07-18,,P1,295122,P1,paper,design1,sold_used,3500.0,,,,,2023-07-18
789,23803433,Успешно_реализовано,0.0,2023-05-03 21:33:40,2023-05-03 21:35:00,,,,,,,Параплан,P1G_262074,#23787591,,,,Погашен,2023-07-21,,P1G,262074,P1G,paper,design1,sold_used,4500.0,,,,,2023-07-21
807,24470939,Успешно_реализовано,6500.0,2023-05-06 13:25:10,2023-05-06 14:57:00,0.0,,"Полет_на_параплане_(Варианты:_2_полета_с_инструктором_(для_двоих),_Бумажный_или_электронный:_Бумажный)_-_1x6500_=_6500",6500.0,6500.0,6500,Параплан,P2_232319,,VPP2_3222707DIS,,,,,,P2,232319,P2,paper,design1,,6500.0,,,,,
